iterations_s1_anneal,objective_s1_anneal,kl_s1_anneal,pp_s1_anneal,E_log_pxz_s1_anneal,ELBO_s1_anneal,kl_pct_obj_s1_anneal,objective_s1,kl_s1,pp_s1,E_log_pxz_s1,ELBO_s1,kl_pct_obj_s1,objective_s2,kl_s2,pp_s2,E_log_pxz_s2,ELBO_s2,kl_pct_obj_s2,objective_s3,kl_s3,pp_s3,E_log_pxz_s3,ELBO_s3,kl_pct_obj_s3,kl_s1_avg,kl_s1_anneal_avg,kl_s2_avg,kl_s3_avg,objective_s1_avg,objective_s1_anneal_avg,objective_s2_avg,objective_s3_avg,E_log_pxz_s1_avg,E_log_pxz_s1_anneal_avg,E_log_pxz_s2_avg,E_log_pxz_s3_avg,ELBO_s1_avg,ELBO_s1_anneal_avg,ELBO_s2_avg,ELBO_s3_avg,kl_pct_obj_s1_avg,kl_pct_obj_s1_anneal_avg,kl_pct_obj_s2_avg,kl_pct_obj_s3_avg
30000,-55.033715820299996,5.40733581543,65.07545758899165,-49.62638000486999,-55.033715820299996,0.098254964885279,-53.721943359399994,1.12834091187,58.91053762745936,-52.593602447529996,-53.721943359399994,0.02100335247221783,-101.551640625,9.91712402344,2219.3737058031484,-45.817258300780004,-55.73438232422001,0.09765597052302669,-144.766210938,13.9055786133,58910.77452669726,-43.620210774899995,-57.525789388199996,0.09605541599244755,0.6556692320508667,9.833596761065,7.309073847453002,10.296406321204667,-59.72258349609,-64.15495328775667,-115.34312727863333,-168.2061751302,-59.06691426403915,-54.32135652669164,-54.01702671559015,-52.63658960299845,-59.72258349609,-64.15495328775667,-61.32610056304317,-62.9329959242031,0.011298106024584377,0.14707361334420038,0.06508101857206794,0.06290453311975139
31000,-57.6871875,5.5148535156300005,67.30317457586108,-52.17233398437,-57.6871875,0.09559927870690525,-56.273759765600005,1.1317340087899999,60.70797892544475,-55.14202575681001,-56.273759765600005,0.02011122081595525,-106.80430664100001,9.921011962889999,2423.7969995879243,-48.44164733905501,-58.36265930194501,0.09288962472494085,-152.675546875,13.8417285156,68880.93815959005,-46.277939453133335,-60.11966796873334,0.0906610704786447,0.6851782455447667,9.082628987629334,7.572961425781334,10.628159932450666,-59.319878743486676,-62.99350081379667,-114.34691015626666,-166.50352604166667,-58.634700497941914,-53.9108718261673,-53.386974365242644,-51.958455369738665,-59.319878743486676,-62.99350081379667,-60.95993579102401,-62.58661530218933,0.011848291840197738,0.1401577105375479,0.067688551485807,0.06529032759677021
32000,-54.6274462891,5.73384155273,65.44468139008968,-48.89360473637,-54.6274462891,0.1049626505032891,-53.5964990234,1.13587417603,60.47899632057428,-52.46062484737,-53.5964990234,0.02119306665038107,-101.332441406,10.2691821289,2335.5976021295432,-45.53162963855,-55.80081176745,0.10134150511340538,-144.332792969,14.461971435499999,62773.36294377572,-43.2902738445,-57.75224528,0.10019879154286276,0.7190877246861667,8.601945068357,7.856997548421002,10.935465128575334,-58.90975390624667,-62.09995410156,-113.34775846356665,-164.83073502603335,-58.19066618156051,-53.49800903320297,-52.74538045757281,-51.29842329915267,-58.90975390624667,-62.09995410156,-60.60237800599384,-62.23388842772799,0.012494742892201628,0.13540667765450304,0.07062283284125669,0.06773185197732629
33000,-54.6504638672,5.5176953125,59.050489128891584,-49.1327685547,-54.6504638672,0.10096337564321387,-53.6740380859,1.29779083252,54.90065231350717,-52.37624725338,-53.6740380859,0.024179116735040765,-101.39390625,10.4439379883,1932.7698754231867,-45.474984130850004,-55.918922119150004,0.10300360617874903,-144.402402344,14.6660253906,47872.60419801244,-43.245458984466666,-57.911484375066664,0.10156358310204651,0.7569775981908333,8.245208577470335,8.126478790283668,11.222522949212667,-58.500753580723334,-61.32862158203,-112.37014713543331,-163.2112076823,-57.74377598253251,-53.08341300455964,-52.121834172574815,-50.66289491102911,-58.500753580723334,-61.32862158203,-60.24831296285851,-61.88541786024177,0.013219283494071973,0.13182191636594318,0.07345462884509377,0.07007159486103326
34000,-56.279975585900004,5.778955688480001,64.84354925895066,-50.50101989742,-56.279975585900004,0.1026822707067382,-54.9604443359,1.33112197876,58.80117999260725,-53.62932235714,-54.9604443359,0.02421963641022667,-103.844863281,10.2891162109,2203.7467382358027,-46.77787353505,-57.066989745949996,0.0990816096801829,-148.102724609,14.6643847656,58612.576409799294,-44.47944661446667,-59.143831380066665,0.09901495603348856,0.7949433816279333,7.929604431149668,8.349655537922335,11.490501566562,-58.28651090494,-60.84851432291334,-111.80088802083331,-162.21665722656664,-57.49156752331207,-52.91890989176364,-51.72561624145548,-50.24205188666823,-58.28651090494,-60.84851432291334,-60.07527177937784,-61.73255345323022,0.013922268715021478,0.12805432140998663,0.07576668442562198,0.07213102812902418
35000,-54.88045898439999,5.4888842773399995,63.31883529198533,-49.391574707059995,-54.88045898439999,0.10001527645569143,-53.4385009766,1.2806372070299998,56.78040625200789,-52.15786376957,-53.4385009766,0.023964691816313742,-101.915371094,10.2289984131,2215.7668365512377,-45.843186340449996,-56.07218475355,0.1003675726565863,-144.196806641,14.9343774414,54134.63844086134,-43.08747639986667,-58.02185384126667,0.10356940482448698,0.8317807292943,7.633484151201001,8.543254882812,11.746798645012332,-57.94109309895,-60.283347167966674,-111.04055208333331,-160.88675390626665,-57.10931236965571,-52.64986301676564,-51.248648600260644,-49.71331842041812,-57.94109309895,-60.283347167966674,-59.79190348307267,-61.46011706543043,0.014629391707998957,0.12471899251763838,0.07793073690272459,0.07427142691698196
36000,-57.086894531300004,5.51407958984,65.81125976362485,-51.57281494146,-57.086894531300004,0.09659098879194947,-56.065068359399994,1.3988421630899999,61.05954473837173,-54.66622619630999,-56.065068359399994,0.02495033367520129,-106.359697266,10.2695776367,2441.8010516735667,-48.04505981465,-58.31463745135,0.0965551604666223,-151.80741210899998,14.9522338867,68436.18063261197,-45.61839274076666,-60.57062662746666,0.09849475515704118,0.8714055360164333,7.382272115069001,8.720705973306,11.995126749666666,-57.66107812499333,-59.79703238932334,-110.37446712239996,-159.72601660156667,-56.789672588976906,-52.414760274254306,-50.826880574546976,-49.24362995063335,-57.66107812499333,-59.79703238932334,-59.54758654785301,-61.23875670029999,0.015352433661395753,0.12186953875354635,0.07984430926870457,0.07621460621370649
37000,-54.2634960937,5.462775268550001,61.766797608893825,-48.800720825149995,-54.2634960937,0.10067127372547287,-53.0718945313,1.35675979614,56.41971946938836,-51.71513473516001,-53.0718945313,0.025564563091672356,-100.575771484,10.4477612305,2085.0243797290827,-45.064005126750004,-55.51176635725,0.1038795037447172,-142.882226562,15.479753418,51912.35261455731,-42.467491048,-57.947244466,0.10833925107741071,0.9090353107457666,7.149994588214001,8.878227701822668,12.244623881015333,-57.34766406249666,-59.336551269530005,-109.65297135416664,-158.48993261716666,-56.438628751750905,-52.18655668131598,-50.38737182617198,-48.74843624538379,-57.34766406249666,-59.336551269530005,-59.26559952799468,-60.9930601263991,0.01608300697422863,0.11913854639152376,0.08174636396467448,0.07834509872854091
38000,-56.605170898400004,5.4794140625,64.40604992475693,-51.125756835900006,-56.605170898400004,0.09680059216383145,-55.4759716797,1.3830126953100002,59.270820633804036,-54.09295898439,-55.4759716797,0.02492994089936919,-104.821445313,10.6367333984,2237.5362110734727,-47.0923559573,-57.7290893557,0.10147478282367119,-149.215175781,15.6686401367,58675.49560799633,-44.51551188143333,-60.18415201813333,0.1050070145659751,0.9467437845870333,6.925322550454001,9.033841634113001,12.490339986157998,-57.16758024088333,-59.00787923177001,-109.19320410156664,-157.645742513,-56.220836456296304,-52.08255668131598,-50.07968123372681,-48.38513417561401,-57.16758024088333,-59.00787923177001,-59.11352286783984,-60.87547416177199,0.016776157468207684,0.11623693762822729,0.08345162578070807,0.08026076450152822
39000,-57.519228515600005,5.18166381836,62.402994324636545,-52.337564697240005,-57.519228515600005,0.09008576700493577,-56.775092773400004,1.42711303711,59.1535155982471,-55.34797973629001,-56.775092773400004,0.025136251961857193,-106.423769531,10.446337890599999,2096.727167570872,-47.9887158202,-58.4350537108,0.09815793912051858,-152.555439453,15.371585693399998,57721.23940166617,-45.7279512532,-61.0995369466,0.1007606529699372,0.9855625349685334,6.7091703287760005,9.168694864906334,12.717666442865,-57.007128580726665,-58.71608821614334,-108.76115592446664,-156.87701692706662,-56.021566045758135,-52.00691788736731,-49.796230529780146,-48.05311682806724,-57.007128580726665,-58.71608821614334,-58.96492539468651,-60.770783270932206,0.017471933539007684,0.11337202851386566,0.08493641759257417,0.08199626499064909
40000,-54.1828320313,5.474276123049999,55.260433617638476,-48.708555908250005,-54.1828320313,0.10103340703726327,-53.4207324219,1.48752212524,52.22839140888487,-51.93321029666,-53.4207324219,0.02784540866066796,-99.95833007809999,10.611529541,1638.5703794735575,-44.67340026855,-55.28492980954999,0.1061595320040755,-141.44625,15.5273693848,35370.05655510484,-41.97296020506666,-57.500329589866666,0.10977575852876977,1.0249035898847667,6.522592569987667,9.302956502275666,12.943972859695664,-56.82023453776,-58.419957356770006,-108.29297298176996,-156.0148710937333,-55.79533094787523,-51.897364786782305,-49.49500823974714,-47.690299411345904,-56.82023453776,-58.419957356770006,-58.79796474202285,-60.634272271041546,0.0182265844286084,0.11088801546847134,0.08655008038129758,0.08391454800254539
41000,-56.39151367189999,5.457515869140001,60.50299588911594,-50.93399780275999,-56.39151367189999,0.09677902779650854,-55.5622949219,1.43911315918,56.960846410482,-54.123181762719994,-55.5622949219,0.025900894864095515,-104.460664063,10.6781420898,1998.0016910223248,-46.891260986599995,-57.56940307639999,0.10222165621463057,-147.920019531,16.134346923800003,47180.35888787512,-43.92855753573334,-60.06290445953334,0.10907480255178498,1.0562642669681002,6.356358968099,9.429923950191002,13.180197143549,-56.764467773436664,-58.26035742187666,-108.07549381513664,-155.51637369789995,-55.70820350646856,-51.90399845377763,-49.322784932472814,-47.445392184783685,-56.764467773436664,-58.26035742187666,-58.752708882663846,-60.62558932833266,0.018799746225862255,0.10842333945002554,0.08789439245958972,0.08569872539882181
42000,-54.634814453100006,5.36666992188,62.64186879494557,-49.26814453122,-54.634814453100006,0.09822802503496912,-53.7367382812,1.51693664551,58.52321850309958,-52.21980163569,-53.7367382812,0.028229042067495675,-101.237773437,10.6804187012,2135.859170251633,-45.2786773679,-55.9590960691,0.10549835638025364,-142.473740234,16.0884277344,48502.871606650086,-42.12843749986666,-58.21686523426666,0.11292205642931981,1.0884596048995003,6.202246500651333,9.544461527503,13.40370495605,-56.473921549476664,-57.885201985676666,-107.44264160156997,-154.40323470049995,-55.38546194457716,-51.6829554850253,-48.94909003703348,-46.99984324815002,-56.473921549476664,-57.885201985676666,-58.493551564536524,-60.403548204199986,0.019446586228025777,0.1066436669704703,0.08940243944871964,0.08768433924315147
43000,-57.0772412109,5.56912353516,71.45395059110709,-51.508117675739996,-57.0772412109,0.09757170138237986,-56.2229296875,1.5373292541499999,67.03102345090568,-54.68560043335,-56.2229296875,0.027343456890183956,-105.706386719,11.024667968800001,2714.157449587894,-47.340859375099996,-58.3655273439,0.10429519266519771,-149.239960938,16.3308691406,70424.79932593426,-44.30303059913333,-60.63389973973333,0.1094269191572924,1.1183978881840002,6.065942850749,9.659280293780665,13.612854980463332,-56.343090006506664,-57.67821207682,-107.08269563803665,-153.69687858073328,-55.22469211832266,-51.61226922607097,-48.711707672127986,-46.69467453342336,-56.343090006506664,-57.67821207682,-58.3709879659087,-60.30752951388665,0.020003807399935746,0.10480904998438977,0.09071019196061124,0.08936504871424192
